14814,Sequential
14538,Sequential
14483,Sequential
14709,Sequential
14715,Sequential
14476,Sequential
14762,Sequential
14745,Sequential
14646,Sequential
14647,Sequential
11661,Threads 2
12367,Threads 2
12293,Threads 2
11113,Threads 2
12584,Threads 2
12155,Threads 2
12539,Threads 2
12434,Threads 2
12271,Threads 2
11841,Threads 2
9075,Threads 4
1096,Threads 4
9145,Threads 4
8986,Threads 4
9740,Threads 4
9757,Threads 4
9084,Threads 4
10121,Threads 4
9007,Threads 4
9661,Threads 4
10111,Threads 8
9000,Threads 8
8956,Threads 8
8523,Threads 8
9931,Threads 8
9516,Threads 8
8522,Threads 8
7500,Threads 8
10469,Threads 8
9089,Threads 8
10514,Threads 16
10240,Threads 16
8476,Threads 16
9949,Threads 16
8677,Threads 16
10191,Threads 16
8772,Threads 16
10365,Threads 16
10702,Threads 16
9921,Threads 16
265450,Hadoop
277712,Hadoop
264218,Hadoop
269218,Hadoop
262097,Hadoop
263665,Hadoop
293927,Hadoop
275220,Hadoop
264397,Hadoop
268713,Hadoop